skill,category,weight
python-user-agents,technical,1.0
sqlparse,technical,1.0
apache-libcloud,technical,1.0
boto3,technical,1.0
django-wordpress,technical,1.0
facebook-sdk,technical,1.0
facepy,technical,1.0
gmail,technical,1.0
google-api-python-client,technical,1.0
gspread,technical,1.0
twython,technical,1.0
furl,technical,1.0
purl,technical,1.0
pyshorteners,technical,1.0
short_url,technical,1.0
webargs,technical,1.0
moviepy,technical,1.0
scikit-video,technical,1.0
wsgi-compatible,technical,1.0
bjoern,technical,1.0
fapws3,technical,1.0
gunicorn,technical,1.0
meinheld,technical,1.0
netius,technical,1.0
paste,technical,1.0
rocket,technical,1.0
uwsgi,technical,1.0
waitress,technical,1.0
werkzeug,technical,1.0
haul,technical,1.0
html2text,technical,1.0
lassie,technical,1.0
micawber,technical,1.0
newspaper,technical,1.0
opengraph,technical,1.0
python-goose,technical,1.0
python-readability,technical,1.0
sanitize,technical,1.0
sumy,technical,1.0
textract,technical,1.0
cola,technical,1.0
demiurge,technical,1.0
feedparser,technical,1.0
grab,technical,1.0
mechanicalsoup,technical,1.0
portia,technical,1.0
pyspider,technical,1.0
robobrowser,technical,1.0
scrapy,technical,1.0
bottle,technical,1.0
cherrypy,technical,1.0
django.1,technical,1.0
awesome-django,technical,1.0
flask.1,technical,1.0
awesome-flask,technical,1.0
pyramid.1,technical,1.0
awesome-pyramid,technical,1.0
sanic,technical,1.0
tornado,technical,1.0
turbogears,technical,1.0
web2py,technical,1.0
github,technical,1.0
autobahnpython,technical,1.0
crossbar,technical,1.0
django-socketio,technical,1.0
websocket-for-python,technical,1.0
javascript,technical,1.0
php,technical,1.0
c#,technical,1.0
c++,technical,1.0
ruby,technical,1.0
css,technical,1.0
c,technical,1.0
objective-c,technical,1.0
shell,technical,1.0
scala,technical,1.0
swift,technical,1.0
matlab,technical,1.0
clojure,technical,1.0
octave,technical,1.0
